Table No. 19 (c),,,,,,,,
"STATEMENT ON REMITTANCE-WISE OF FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
67,ILF CONSULTING ENGINEERS INDIA PVT LTD,Austria,ILF GROUP HOLDING GMBH,MUMBAI,Architectural and engineering activities and related technical consultancy,7.12,0.10,
68,ILF CONSULTING ENGINEERS INDIA PVT LTD,Austria,ILF GROUP HOLDING GMBH,MUMBAI,"Architectural and engineering activities and related technical
consultancy",14.81,0.21,
69,ILF CONSULTING ENGINEERS INDIA PVT LTD,Austria,ILF GROUP HOLDING GMBH,MUMBAI,"Wholesale of other households goods,
n.e.c. [Includes wholesale of household equipment
and appliances,",16.53,0.23,
70,SEMPERTRANS INDIA PVT LTD.,Austria,SEMPERIT AKTIENGESELLSCHAFT HOLDING,MUMBAI,"Manufacture of rubber conveyor or transmission belts or
belting",32.00,0.44,
71,SEMPERTRANS INDIA PVT LTD.,Austria,SEMPERIT AKTIENGESELLSCHAFT HOLDING,MUMBAI,"Manufacture of rubber conveyor or transmission belts or
belting",400.00,5.54,
72,EGLO INDIA PVT LTD,Austria,EGLO LEUCHTEM GMBH,NEW DELHI,"Wholesale of other electronic equipments and parts
thereof",10.37,0.14,
73,TRANQUINI INDIA PRIVATE LIMITED,Austria,TRANQUINI GMBH,NEW DELHI,"Wholesale of confectionery, bakery products and beverages other than intoxicants",0.04,0.00,
74,MAXION WHEELS ALUMINIUM INDIA PVT LTD,Austria,IOCHPE-MAXION AUSTRIA GMBH,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes,
axles, road",0.10,0.00,
75,MAXION WHEELS ALUMINIUM INDIA PVT LTD,Austria,IOCHPE-MAXION AUSTRIA GMBH,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes,
axles, road",34.00,0.49,
76,MAXION WHEELS,Austria,IOCHPE-MAXION AUSTRIA,MUMBAI,Manufacture of,315.00,4.53,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,ALUMINIUM INDIA PVT LTD,,GMBH,,"diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",,,
77,MAXION WHEELS ALUMINIUM INDIA PVT LTD,Austria,IOCHPE-MAXION AUSTRIA GMBH,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",235.50,3.39,
78,CLIRNET SERVICES PVT LTD,Austria,Brigitta Czink,MUMBAI,Other human health activities n.e.c. (including independent ambulance activities),0.49,0.01,
79,CLIRNET SERVICES PVT LTD,Austria,Brigitta Czink,MUMBAI,Other human health activities n.e.c. (including independent ambulance activities),2.53,0.04,
80,CLIRNET SERVICES PVT LTD,Austria,Brigitta Czink,MUMBAI,Other human health activities n.e.c. (including independent ambulance activities),2.76,0.04,
81,AGRANA FRUIT INDIA PRIVATE LIMITED,Austria,AGRANA FRUIT SERVICES GMBH,NEW DELHI,Other non-specialised wholesale trade n.e.c.,0.03,0.00,
82,POMENTREE TECHNOLOGIES PVT. LTD.,Bahamas,CAPITORA VENTURES LIMITED,NEW DELHI,Data processing activities including report writing,1.57,0.02,
83,ONYMY INFOCOMM PRIVATE LIMITED,Bahamas,SHYAM SUNDER DORAISWAMY,CHENNAI,Retail sale of non- customized software,1.00,0.01,
84,TESTBOOK EDU SOLUTIONS PVT LTD,Bahamas,SILVAN VARGHESE,MUMBAI,Educational support services,0.48,0.01,
85,TESTBOOK EDU SOLUTIONS PVT LTD,Bahrain,SILVAN VARGHESE,MUMBAI,Educational support services,0.02,0.00,
