Table No.19 (b),Unnamed: 2,Unnamed: 4,Unnamed: 6,Unnamed: 8,Unnamed: 10,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 18
447,DATAFACTZ SOLUTIONS PRIVATE LIMITED,TELANGANA,Hyderabad,Computer consultancy and computer facilities management activities,Datafactz LLC,U.S.A,"6,72,300.0000",8379.4914,Received in the company
448,ATELIER BRUNETTE INDIA PRIVATE LIMITED,DELHI,Central Delhi,"Manufacture of other made-up textile articles, except apparel n.e.c.",RAJEEV KUMAR,France,"6,66,000.0000",8371.5668,Received in the company
449,Alano Motors Private Limited,MAHARASHTRA,Mumbai,Manufacture of other special- purpose machinery n.e.c.,Nisje FZE,UAE,"6,48,547.2000",8152.1865,Received in the company
450,"LAUNCH IT CONSULTING INDIA
PRIVATE LIMITED",RAJASTHAN,Jaipur,Providing software support and maintenance to the clients,STRIVE CONSULTING LLC,U.S.A,"6,47,740.0000",8073.3776,"Received in the
company"
451,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,DELHI,South West Delhi,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",TECHNOPRO HOLDINGS INC,Japan,"6,23,224.2970",7767.8159,Received in the company
452,"HWASUNG ENTERPRISES ANANTHAPUR PRIVATE
LIMITED",KARNATAKA,Bengaluru,Other business support service activities n.e.c,SEOIL HOLDING COOPERATEIF UA,Netherland,"5,84,354.9360",7283.3514,Received in the company
453,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Coimbatore,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",TECHNOPRO HOLDINGS INC,Japan,"5,71,465.5040",7122.6986,Received in the company
454,Persistent Systems Limited,MAHARASHTRA,Pune,"Computer consultancy and computer facilities management
activities",PAUL TASILLO,U.S.A,"5,53,087.5000",6948.1958,"Received in the
company"
455,CODAL SYSTEMS PRIVATE LIMITED,GUJARAT,Ahmedabad,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",CODAL HOLDINGS LLC,U.S.A,"5,40,000.0000",6783.7832,Received in the company
456,CODAL SYSTEMS PRIVATE LIMITED,GUJARAT,Ahmedabad,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",CODAL HOLDINGS LLC,U.S.A,"5,40,000.0000",6783.7832,Received in the company
