Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
74,"BRAIN4CE EDUCATION SOLUTIONS PRIVATE
LIMITED",State Not Indicated,District Not Indicated,Educational support services,LEO CAPITAL FUND I,Mauritius,18.43,0.25,-,
75,BRAIN4CE EDUCATION SOLUTIONS PRIVATE LIMITED,State Not Indicated,District Not Indicated,Educational support services,LEO CAPITAL FUND I,Mauritius,18.43,0.25,-,
76,"BRAIN4CE EDUCATION SOLUTIONS PRIVATE
LIMITED",State Not Indicated,District Not Indicated,Educational support services,LEO CAPITAL FUND I,Mauritius,4.00,0.05,-,
77,BREATHE WELL RESPIRATORY CLINIC PRIVATE LIMITED,PUNJAB,Mohali,"Other human health activities n.e.c. (including independent
ambulance activities)",CHARLES VERGHESE,U.S.A,0.02,0.00,Received in the Company,
78,Bureauid India Private Limited,MAHARASHTRA,Mumbai,"Other information technology and computer service
activities n.e.c","Bureau,INC",U.S.A,0.00,0.00,Received in the company,
79,CAFS INDIA GLOBAL PRIVATE LIMITED,GUJARAT,Ahmedabad,"Activities of other commission agents
n.e.c. (including commission agents working in emerging areas for wholesale
trade",Coal and Freight Services DMCC,UAE,0.14,0.00,Received in the Company,
80,"CALLISTRO REALTORS
PRIVATE LIMITED",MAHARASHTRA,Mumbai,"Other construction
projects n.e.c.",Callisto Projects Limited,Mauritius,0.22,0.00,"Received in
the Company",
81,Calpine Solar Energy Private Limited,HARYANA,Gurgaon,Electric power generation using solar energy,Calpine Solar HoldCo Limited,HongKong,0.10,0.00,Received in the Company,
82,"Canvas Talent Private
Limited",MAHARASHTRA,Mumbai,"Other creative arts and
entertainment activities",Believe SAS,France,25.50,0.35,"Received in
the company",
83,Cella Warehousing Private Limited,DELHI,South West Delhi,"Storage and warehousing
n.e.c.[Includes general",Cella Holdings Pte. Ltd.,Singapore,0.00,0.00,Received in the company,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,"Name of Foreign
Collaborator",Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
,,,,"merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade
zones",,,,,,
84,CHARGEXO BATTERY TECHNOLOGY PRIVATE LIMITED,Telangana,Hyderabad,"Manufacture of primary cells and primary batteries and rechargeable batteries, cells containing manganese oxide, mercuric oxide silver
oxide or other material",ANB Venture Partners Pte. Ltd,Singapore,0.06,0.00,Received in the Company,
85,CHARGEXO BATTERY TECHNOLOGY PRIVATE LIMITED,Telangana,Hyderabad,"Manufacture of primary cells and primary batteries and rechargeable batteries, cells containing manganese oxide, mercuric oxide silver
oxide or other material",ANB Venture Partners Pte. Ltd,Singapore,0.05,0.00,Received in the company,
86,"CHEMPAKA KINDERGARTEN PRIVATE
LIMITED",KERALA,Thiruvananthapuram,"Pre-primary education (education preceding
the first level)",PRESANNA RAJ VASUDEVAN NAIR,UAE,69.84,0.93,Received in the Company,
87,CIRCULANT SOFTWARE PRIVATE LIMITED,RAJASTHAN,Jaipur,"Computer consultancy
and computer facilities management activities",CIRCULANT SOLUTIONS INC,U.S.A,0.10,0.00,Received in the company,
88,CIVENTICHEM (INDIA) PRIVATE LIMITED,TELANGANA,Hyderabad,"Manufacture of organic
and inorganic chemical compounds n.e.c.",BHASKAR RAO VENEPALLI,U.S.A,2.07,0.03,Received in the Company,
89,CloudCover Consultancy,MAHARASHTRA,Pune,"Other professional,",Quantum Security Pte. Ltd.,Singapore,0.00,0.00,Received in,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,"Name of Foreign
Collaborator",Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
,Private Limited,,,"scientific and technical
activities n.e.c.",,,,,the company,
90,CODA SOFTWARE SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Chennai,"Providing software support and maintenance to the
clients",CODA GLOBAL LLC,U.S.A,1.96,0.03,Received in the company,
91,CODA SOFTWARE SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Chennai,"Providing software support and maintenance to the
clients",CODA GLOBAL LLC,U.S.A,4.89,0.07,Received in the company,
92,CODA SOFTWARE SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Chennai,Providing software support and maintenance to the clients,CODA GLOBAL LLC,U.S.A,1.96,0.03,Received in the company,
