Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING OCTOBER 2016 TO DECEMBER, 2016",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
110,DEN NETWORKS LTD,Singapore,MBD BRIDGE STREET 2016 INVESTMENTS ( SIN,NEW DELHI,Radio broadcasting,254.14,3.74,
111,TATA SIA AIRLINE LIMITED,Singapore,SINGAPORE AIRLINES LIMITED,NEW DELHI,Passenger airways,"1,225.00",18.04,
112,M/S INDUS CLEAN ENERGY (INDIA) PVT LTD,Singapore,ASAIN GENCO PTE LTD,NEW DELHI,Electric power generation by hydroelectric power plants,11.65,0.17,
113,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Singapore,CORE INFRASTRUCTURE INDIA FUND PTE. LTD,NEW DELHI,Activities of holding companies,467.11,7.00,
114,M/S INDUS CLEAN ENERGY (INDIA) PVT LTD,Singapore,ASIAN GENCO PTE LTD,NEW DELHI,Electric power generation by hydroelectric power plants,13.38,0.20,
115,UTV SOFTWARE COMMUNICATION LIMITED,Singapore,The Walt Disney Company (Southeast Asia),MUMBAI,Production of motion picture,"2,499.00",37.44,
116,DEN NETWORKS LTD,Singapore,BROAD STREET INVESTMENTS ( SINGAPORE) PT,NEW DELHI,Radio broadcasting,"1,170.20",17.23,
117,M/S INDUS CLEAN ENERGY (INDIA) PVT LTD,Singapore,ASIAN GENCO PTE LTD,NEW DELHI,Electric power generation by hydroelectric power plants,13.30,0.20,
118,MARKS & SPENCER RELIANCE INDIA PVT LTD,Singapore,Marks and Spencer (Singapore) Investment,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",150.00,2.21,
119,UTV GLOBAL BROADCASTING LTD,Singapore,THE WALT DISNEY COMPANY SOUTHEAST ASIA P,MUMBAI,Radio broadcasting,7.20,0.11,
120,ORDAIN HEALTH CARE GLOBAL PVT LTD,Spain,Chemo Espana S.L,CHENNAI,"Manufacture of medicinal substances used in
the manufacture of pharmaceuticals: antibiotics, endocrine v",230.33,3.41,
121,BUIMERC CORE INVESTMENTS PVT. LTD.,UAE,BUIMERC CORPORATION FZE,KOCHI,Management of other investment funds,231.00,3.42,
122,TATA SKY LTD,UAE,NETWORK DIGITAL DISTRIBUTION SERVICE FZ,MUMBAI,Other satellite telecommunications activities,217.36,3.26,
123,TATA SKY LTD,UAE,NETWORK DIGITAL DISTRIBUTION SERVICES FZ,MUMBAI,Other satellite telecommunications activities,217.36,3.26,
124,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings",5.61,0.08,
125,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial
banks, saving banks. postal savings bank and discount houses",4.58,0.07,
126,"CLARKS FUTURE FOOTWEAR PRIVATE
LIMITED",United Kingdom,C& J CLARK INTERNATIONAL LIMITED,NEW DELHI,Retail sale of footwear,12.50,0.19,
127,CLARKS FUTURE FOOTWEAR PRIVATE LIMITED,United Kingdom,C & J CLARK INTERNATIONAL LIMITED,NEW DELHI,Retail sale of footwear,20.00,0.30,
128,MARKS & SPENCER RELIANCE INDIA PVT LTD,United Kingdom,marks and spencer international holdings,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",3.00,0.04,
129,KINEDEX HEALTHCARE PRIVATE LIMITED,United Kingdom,UDANE LIMITED,JAIPUR,Wholesale of pharmaceutical and medical goods,35.18,0.52,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
130,SUN PHARMACEUTICAL INDUSTRIES LIMITED,United Kingdom,SAMEER TRIVEDI,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.00,0.00,
131,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and
discount houses",4.58,0.07,
132,SUN PHARMACEUTICAL INDUSTRIES LIMITED,United Kingdom,AS PER LIST,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.00,0.00,
133,SUN PHARMACEUTICAL INDUSTRIES LIMITED,United Kingdom,AS PER LIST,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.01,0.00,
134,BURBERRY INDIA PVT LTD,United Kingdom,BURBERRY INTERNATIONAL HOLDINGS LIMITED,NEW DELHI,"Retail sale of readymade garments, hosiery
goods, other articles of clothing and clothing accessories",59.77,0.88,
135,RICOH INDIA LIMITED,United Kingdom,NRG GROUP LIMITED,MUMBAI,"Wholesale of other machinery, equipment and supplies n.e.c. including computer-
controlled machine tools","11,229.95",165.39,
136,M/S AUROBINDO PHARMA LTD,United Kingdom,V.Muralidharan,HYDERABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine v",0.48,0.01,
137,HAYMARKET MEDIA (INDIA) PVT LTD,United Kingdom,HAYMARKET WORLDWIDE LTD,MUMBAI,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.",10.00,0.15,
138,COMPATEL INDIA PVT LTD,United Kingdom,Compatel Limited,MUMBAI,Other telecommunications activities,24.66,0.36,
139,ICICI BANK LTD.,U.S.A,BHYJU KANAMKANDY,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.34,0.00,
140,ICICI BANK LTD.,U.S.A,BHYJU KANAMKANDY,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.44,0.01,
141,ICICI BANK LTD.,U.S.A,MADHABI PURI BUCH,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",18.31,0.27,
142,ICICI BANK LTD.,U.S.A,ANUP KURUP,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.99,0.01,
143,ICICI BANK LTD.,U.S.A,ANUP KURUP,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.66,0.02,
144,ICICI BANK LTD.,U.S.A,ANUP KURUP,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.01,0.01,
145,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,AS PER LIST,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.02,0.00,
146,STAR INDIA PVT LTD,Bermuda,Star Television Technical Services Limit,MUMBAI,Radio broadcasting,125.84,1.89,
Grand Total,,,,,,"226,213.33","3,350.43",
